Time,Time Code,Country Name,Country Code,Access to clean fuels and technologies for cooking (% of population) [EG.CFT.ACCS.ZS],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Agricultural land (% of land area) [AG.LND.AGRI.ZS],Agricultural methane emissions (% of total) [EN.ATM.METH.AG.ZS],Agricultural methane emissions (thousand metric tons of CO2 equivalent) [EN.ATM.METH.AG.KT.CE],Agricultural nitrous oxide emissions (% of total) [EN.ATM.NOXE.AG.ZS],Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent) [EN.ATM.NOXE.AG.KT.CE],Arable land (% of land area) [AG.LND.ARBL.ZS],Average precipitation in depth (mm per year) [AG.LND.PRCP.MM],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],CO2 emissions (kt) [EN.ATM.CO2E.KT],Forest area (% of land area) [AG.LND.FRST.ZS],Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS],"Internally displaced persons, new displacement associated with disasters (number of cases) [VC.IDP.NWDS]",Land under cereal production (hectares) [AG.LND.CREL.HA],Nitrous oxide emissions (% change from 1990) [EN.ATM.NOXE.ZG],Nitrous oxide emissions (thousand metric tons of CO2 equivalent) [EN.ATM.NOXE.KT.CE],"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent) [EN.ATM.GHGO.KT.CE]","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) [EN.ATM.PM25.MC.ZS]",Methane emissions (kt of CO2 equivalent) [EN.ATM.METH.KT.CE],Methane emissions in energy sector (thousand metric tons of CO2 equivalent) [EN.ATM.METH.EG.KT.CE],Refugee population by country or territory of origin [SM.POP.REFG.OR],SF6 gas emissions (thousand metric tons of CO2 equivalent) [EN.ATM.SF6G.KT.CE],Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]
1960,YR1960,Turkey,TUR,..,..,..,..,..,..,..,..,..,0.612271322,16820.529,..,44.19907189,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,0.119035253,11.001,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,0.011038209,58.672,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Uzbekistan,UZB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Arab World,ARB,..,..,..,..,..,..,..,..,..,0.607447557,56005.2998,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1960,YR1960,Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,..,0.938534038,98736.84887,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Afghanistan,AFG,..,..,57.74591796,..,..,..,..,11.71767301,..,0.053588835,491.378,..,..,..,3313500,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Algeria,DZA,..,..,19.09150453,..,..,..,..,2.717341104,..,0.535024402,6065.218,..,..,..,2708623,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Bahrain,BHR,..,..,10.14492754,..,..,..,..,1.449275362,..,10.54928109,1771.161,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Djibouti,DJI,..,..,56.12597066,..,..,..,..,0.043140638,..,0.497231576,44.004,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,"Egypt, Arab Rep.",EGY,..,..,2.579737807,..,..,..,..,2.510422422,..,0.6244271,17088.22,..,..,..,1723824,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,"Iran, Islamic Rep.",IRN,..,..,36.39026008,..,..,..,..,9.197180677,..,1.625491562,36541.655,..,..,..,5063000,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Iraq,IRQ,..,..,20.12026431,..,..,..,..,10.51741089,..,1.166517421,8720.126,..,..,..,2039339,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Israel,ISR,..,..,23.61367837,..,..,..,..,14.69500924,..,3.235686957,7069.976,..,..,..,154875,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Jordan,JOR,..,..,12.28467815,..,..,..,..,3.059836809,..,1.005237231,979.089,..,..,..,377707,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Kuwait,KWT,..,..,7.575757576,..,..,..,..,0.056116723,..,33.20815368,9981.574,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Lebanon,LBN,..,..,54.93646139,..,..,..,..,16.81329423,..,1.439567011,2684.244,..,..,..,90400,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Libya,LBY,..,..,6.348250111,..,..,..,..,0.96616161,..,0.797987545,1195.442,..,..,..,489000,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Mauritania,MRT,..,..,38.3448142,..,..,..,..,0.259047249,..,0.054444991,47.671,..,..,..,246050,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Morocco,MAR,..,..,52.35918806,..,..,..,..,14.76452928,..,0.297154788,3777.01,..,..,..,3772884,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Oman,OMN,..,..,3.344103393,..,..,..,..,0.064620355,..,..,..,..,..,..,2600,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Pakistan,PAK,..,..,46.3496264,..,..,..,..,39.66894977,..,0.318179214,14656.999,..,..,..,7858558,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Qatar,QAT,..,..,4.392764858,..,..,..,..,0.086132644,..,3.137784174,161.348,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Saudi Arabia,SAU,..,..,40.08484944,..,..,..,..,0.530309021,..,0.84659456,3571.658,..,..,..,273500,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Sudan,SDN,..,..,..,..,..,..,..,..,..,0.128810196,1386.126,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Tunisia,TUN,..,..,55.66426365,..,..,..,..,19.95365602,..,0.417044545,1767.494,..,..,..,1125063,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Syrian Arab Republic,SYR,..,..,81.29829144,..,..,..,..,33.4421591,..,0.649233274,3065.612,..,..,..,2161829,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Turkey,TUR,..,..,47.44747476,..,..,..,..,29.90138118,..,0.61687926,17363.245,..,44.15911347,..,12865300,..,..,..,..,..,..,..,..,..,..
1961,YR1961,United Arab Emirates,ARE,..,..,2.928752464,..,..,..,..,0.070402703,..,0.109141236,11.001,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,"Yemen, Rep.",YEM,..,..,44.20137508,..,..,..,..,2.390287327,..,0.013599019,73.34,..,..,..,1199277,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Uzbekistan,UZB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Arab World,ARB,..,..,27.83564273,..,..,..,..,3.142107958,..,0.660637945,62578.60559,..,..,..,16741296,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Middle East & North Africa,MEA,..,..,25.7453277,..,..,..,..,4.399947623,..,0.971387066,104969.8465,..,..,..,21185570,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Afghanistan,AFG,..,..,57.83782128,..,..,..,..,11.79425911,327,0.073720831,689.396,..,..,..,3425500,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Algeria,DZA,..,..,18.85176384,..,..,..,..,2.645124993,89,0.487888633,5669.182,..,..,..,2911300,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Bahrain,BHR,..,..,10.14492754,..,..,..,..,1.449275362,83,9.19164395,1591.478,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Djibouti,DJI,..,..,56.12597066,..,..,..,..,0.043140638,220,0.506040083,47.671,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,"Egypt, Arab Rep.",EGY,..,..,2.516449847,..,..,..,..,2.444120749,51,0.661467973,18595.357,..,..,..,1975708,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,"Iran, Islamic Rep.",IRN,..,..,36.40192539,..,..,..,..,9.203320317,228,1.623751052,37462.072,..,..,..,4983000,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Iraq,IRQ,..,..,20.24601596,..,..,..,..,10.63173057,216,1.176904102,9031.821,..,..,..,2451402,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Israel,ISR,..,..,23.33641405,..,..,..,..,14.27911275,435,3.463899695,7942.722,..,..,..,131626,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Jordan,JOR,..,..,12.30734361,..,..,..,..,3.082502267,111,1.03770217,1048.762,..,..,..,400547,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Kuwait,KWT,..,..,7.575757576,..,..,..,..,0.056116723,121,42.36070467,14290.299,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Lebanon,LBN,..,..,55.71847507,..,..,..,..,17.59530792,661,1.483715499,2856.593,..,..,..,91435,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Libya,LBY,..,..,6.469304477,..,..,..,..,0.971844914,56,0.676265933,1048.762,..,..,..,563000,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Mauritania,MRT,..,..,38.3448142,..,..,..,..,0.259047249,92,0.069136041,62.339,..,..,..,246050,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Morocco,MAR,..,..,52.82968141,..,..,..,..,14.76452928,346,0.235227671,3080.28,..,..,..,3285652,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Oman,OMN,..,..,3.344103393,..,..,..,..,0.064620355,125,..,..,..,..,..,2600,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Pakistan,PAK,..,..,46.49232046,..,..,..,..,39.81164384,494,0.341225569,16105.464,..,..,..,8090856,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Qatar,QAT,..,..,4.392764858,..,..,..,..,0.086132644,74,3.389214745,190.684,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Saudi Arabia,SAU,..,..,40.09415311,..,..,..,..,0.539612688,59,1.433923644,6255.902,..,..,..,273600,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Sudan,SDN,..,..,..,..,..,..,..,..,416,0.134379626,1485.135,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Tunisia,TUN,..,..,55.52909372,..,..,..,..,19.95365602,207,0.417335485,1796.83,..,..,..,1116346,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Syrian Arab Republic,SYR,..,..,81.4560888,..,..,..,..,33.73598868,252,0.657370377,3204.958,..,..,..,2268047,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Turkey,TUR,..,..,47.61768642,..,..,..,..,30.05470161,593,0.750243221,21631.633,..,49.04966574,..,12965000,..,..,..,..,..,..,..,..,..,..
1962,YR1962,United Arab Emirates,ARE,..,..,2.928752464,..,..,..,..,0.070402703,78,0.163533063,18.335,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,"Yemen, Rep.",YEM,..,..,44.2222096,..,..,..,..,2.411121844,167,0.012728752,69.673,..,..,..,1233668,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Uzbekistan,UZB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Arab World,ARB,..,..,27.82656433,..,..,..,..,3.135165647,..,0.724944319,70562.05073,..,..,..,17344455,..,..,..,..,..,..,..,..,..,..
1962,YR1962,Middle East & North Africa,MEA,..,..,25.73686541,..,..,..,..,4.39255425,..,1.032457703,114649.7138,..,..,..,21691630,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Afghanistan,AFG,..,..,57.91440738,..,..,..,..,11.8708452,..,0.074160725,707.731,..,..,..,3426500,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Algeria,DZA,..,..,18.688018,..,..,..,..,2.603138882,..,0.455573722,5427.16,..,..,..,2891420,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Bahrain,BHR,..,..,10.14492754,..,..,..,..,1.449275362,..,6.710688223,1195.442,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Djibouti,DJI,..,..,56.12597066,..,..,..,..,0.043140638,..,0.655940692,66.006,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1963,YR1963,"Egypt, Arab Rep.",EGY,..,..,2.501381285,..,..,..,..,2.424029333,..,0.746574073,21554.626,..,..,..,1944683,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1963,YR1963,"Iran, Islamic Rep.",IRN,..,..,36.43876323,..,..,..,..,9.209459957,..,1.745832246,41341.758,..,..,..,4783000,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Iraq,IRQ,..,..,20.37176761,..,..,..,..,10.74605025,..,1.190893346,9394.854,..,..,..,1817699,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Israel,ISR,..,..,24.1219963,..,..,..,..,14.78743068,..,3.451203447,8210.413,..,..,..,131758,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Jordan,JOR,..,..,12.31867634,..,..,..,..,3.093834995,..,1.16272699,1221.111,..,..,..,289041,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Kuwait,KWT,..,..,7.575757576,..,..,..,..,0.056116723,..,44.95329588,17025.881,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Lebanon,LBN,..,..,55.71847507,..,..,..,..,17.59530792,..,1.525914597,3028.942,..,..,..,72900,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Libya,LBY,..,..,6.58410721,..,..,..,..,0.971844914,..,0.910377925,1463.133,..,..,..,503000,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Mauritania,MRT,..,..,38.34578442,..,..,..,..,0.259047249,..,0.094761256,88.008,..,..,..,252600,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Morocco,MAR,..,..,53.43460142,..,..,..,..,14.89895595,..,0.293829627,3960.36,..,..,..,4326300,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Oman,OMN,..,..,3.344103393,..,..,..,..,0.064620355,..,..,..,..,..,..,2700,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Pakistan,PAK,..,..,46.54420922,..,..,..,..,39.86353259,..,0.382635167,18514.683,..,..,..,8212602,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Qatar,QAT,..,..,4.392764858,..,..,..,..,0.086132644,..,99.46461209,6138.558,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Saudi Arabia,SAU,..,..,40.10438714,..,..,..,..,0.548916355,..,1.537749863,6945.298,..,..,..,287289,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Sudan,SDN,..,..,..,..,..,..,..,..,..,0.147903283,1679.486,..,..,..,..,..,..,..,..,..,..,..,13000,..,..
1963,YR1963,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Tunisia,TUN,..,..,55.39392379,..,..,..,..,19.95365602,..,0.444554057,1947.177,..,..,..,1592000,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Syrian Arab Republic,SYR,..,..,81.84242029,..,..,..,..,34.28011753,..,0.717427799,3611.995,..,..,..,2478681,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Turkey,TUR,..,..,48.55579954,..,..,..,..,31.04738641,..,0.767637866,22669.394,..,51.62627951,..,13016700,..,..,..,..,..,..,..,..,..,..
1963,YR1963,United Arab Emirates,ARE,..,..,2.928752464,..,..,..,..,0.070402703,..,0.175833134,22.002,..,..,..,..,..,..,..,..,..,..,..,..,..,..
